,date,도매가격
1494,2016-11-15,17120.0
1493,2016-11-16,16993.0
1492,2016-11-17,16533.0
1491,2016-11-18,16170.0
1490,2016-11-21,15435.0
1489,2016-11-22,16317.0
1488,2016-11-23,16250.0
1487,2016-11-24,16128.0
1486,2016-11-25,15841.0
1485,2016-11-28,16088.0
1484,2016-11-29,16360.0
1483,2016-11-30,16436.0
1482,2016-12-01,16913.0
1481,2016-12-02,16878.0
1480,2016-12-05,17091.0
1479,2016-12-06,17387.0
1478,2016-12-07,17357.0
1477,2016-12-08,16953.0
1476,2016-12-09,16291.0
1475,2016-12-12,16156.0
1474,2016-12-13,16480.0
1473,2016-12-14,16359.0
1472,2016-12-15,15796.0
1471,2016-12-16,14339.0
1470,2016-12-19,13327.0
1469,2016-12-20,14242.0
1468,2016-12-21,14302.0
1467,2016-12-22,14491.0
1466,2016-12-23,14663.0
1465,2016-12-26,14407.0
1464,2016-12-27,15821.0
1463,2016-12-28,16176.0
1462,2016-12-29,16111.0
1461,2016-12-30,15533.0
1460,2017-01-02,15650.0
1459,2017-01-03,16575.0
1458,2017-01-04,16709.0
1457,2017-01-05,16699.0
1456,2017-01-06,16477.0
1455,2017-01-09,15950.0
1454,2017-01-10,16301.0
1453,2017-01-11,16286.0
1452,2017-01-12,16156.0
1451,2017-01-13,15757.0
1450,2017-01-16,15100.0
1449,2017-01-17,15582.0
1448,2017-01-18,15581.0
1447,2017-01-19,15137.0
1446,2017-01-20,14454.0
1445,2017-01-23,14364.0
1444,2017-01-24,14674.0
1443,2017-01-25,14819.0
1442,2017-01-31,14688.0
1441,2017-02-01,16111.0
1440,2017-02-02,16989.0
1439,2017-02-03,17326.0
1438,2017-02-06,17277.0
1437,2017-02-07,17200.0
1436,2017-02-08,17039.0
1435,2017-02-09,16459.0
1434,2017-02-10,16318.0
1433,2017-02-13,15928.0
1432,2017-02-14,16373.0
1431,2017-02-15,15910.0
1430,2017-02-16,15846.0
1429,2017-02-17,15487.0
1428,2017-02-20,14600.0
1427,2017-02-21,15938.0
1426,2017-02-22,16010.0
1425,2017-02-23,16482.0
1424,2017-02-24,16699.0
1423,2017-02-27,16625.0
1422,2017-02-28,16901.0
1421,2017-03-02,17048.0
1420,2017-03-03,17250.0
1419,2017-03-06,17243.0
1418,2017-03-07,17220.0
1417,2017-03-08,16848.0
1416,2017-03-09,16756.0
1415,2017-03-10,16311.0
1414,2017-03-13,15295.0
1413,2017-03-14,16286.0
1412,2017-03-15,15916.0
1411,2017-03-16,15561.0
1410,2017-03-17,15257.0
1409,2017-03-20,15311.0
1408,2017-03-21,15526.0
1407,2017-03-22,15438.0
1406,2017-03-23,15701.0
1405,2017-03-24,16219.0
1404,2017-03-27,15918.0
1403,2017-03-28,16211.0
1402,2017-03-29,16281.0
1401,2017-03-30,16232.0
1400,2017-03-31,16160.0
1399,2017-04-03,15866.0
1398,2017-04-04,16728.0
1397,2017-04-05,16571.0
1396,2017-04-06,16660.0
1395,2017-04-07,16508.0
1394,2017-04-10,15415.0
1393,2017-04-11,16878.0
1392,2017-04-12,16519.0
1391,2017-04-13,16425.0
1390,2017-04-14,16101.0
1389,2017-04-17,15952.0
1388,2017-04-18,16575.0
1387,2017-04-19,16364.0
1386,2017-04-20,16007.0
1385,2017-04-21,15126.0
1384,2017-04-24,14264.0
1383,2017-04-25,16241.0
1382,2017-04-26,15811.0
1381,2017-04-27,15266.0
1380,2017-04-28,14530.0
1379,2017-05-02,15518.0
1378,2017-05-04,14842.0
1377,2017-05-08,14397.0
1376,2017-05-10,16197.0
1375,2017-05-11,16402.0
1374,2017-05-12,16826.0
1373,2017-05-15,16271.0
1372,2017-05-16,17089.0
1371,2017-05-17,16756.0
1370,2017-05-18,16719.0
1369,2017-05-19,16451.0
1368,2017-05-22,16280.0
1367,2017-05-23,16888.0
1366,2017-05-24,16526.0
1365,2017-05-25,15892.0
1364,2017-05-26,15919.0
1363,2017-05-29,15887.0
1362,2017-05-30,16157.0
1361,2017-05-31,16233.0
1360,2017-06-01,16455.0
1359,2017-06-02,17055.0
1358,2017-06-05,17036.0
1357,2017-06-07,16925.0
1356,2017-06-08,17035.0
1355,2017-06-09,16768.0
1354,2017-06-12,15831.0
1353,2017-06-13,16903.0
1352,2017-06-14,16778.0
1351,2017-06-15,16200.0
1350,2017-06-16,16125.0
1349,2017-06-19,16015.0
1348,2017-06-20,16502.0
1347,2017-06-21,16340.0
1346,2017-06-22,16334.0
1345,2017-06-23,16410.0
1344,2017-06-26,16090.0
1343,2017-06-27,16544.0
1342,2017-06-28,16748.0
1341,2017-06-29,16975.0
1340,2017-06-30,16682.0
1339,2017-07-03,15456.0
1338,2017-07-04,16986.0
1337,2017-07-05,16989.0
1336,2017-07-06,16781.0
1335,2017-07-07,16449.0
1334,2017-07-10,15693.0
1333,2017-07-11,16916.0
1332,2017-07-12,16578.0
1331,2017-07-13,16201.0
1330,2017-07-14,16199.0
1329,2017-07-17,15780.0
1328,2017-07-18,16362.0
1327,2017-07-19,16113.0
1326,2017-07-20,16184.0
1325,2017-07-21,16501.0
1324,2017-07-24,15805.0
1323,2017-07-25,16460.0
1322,2017-07-26,16547.0
1321,2017-07-27,17002.0
1320,2017-07-28,17162.0
1319,2017-07-31,14696.0
1318,2017-08-01,16922.0
1317,2017-08-02,17042.0
1316,2017-08-03,17237.0
1315,2017-08-04,18055.0
1314,2017-08-07,17695.0
1313,2017-08-08,17553.0
1312,2017-08-09,17274.0
1311,2017-08-10,17208.0
1310,2017-08-11,16992.0
1309,2017-08-14,15322.0
1308,2017-08-16,16697.0
1307,2017-08-17,16928.0
1306,2017-08-18,16545.0
1305,2017-08-21,15145.0
1304,2017-08-22,17123.0
1303,2017-08-23,17120.0
1302,2017-08-24,16970.0
1301,2017-08-25,16808.0
1300,2017-08-28,17464.0
1299,2017-08-29,17203.0
1298,2017-08-30,17299.0
1297,2017-08-31,16883.0
1296,2017-09-01,16859.0
1295,2017-09-04,16637.0
1294,2017-09-05,17296.0
1293,2017-09-06,17545.0
1292,2017-09-07,17510.0
1291,2017-09-08,17182.0
1290,2017-09-11,16766.0
1289,2017-09-12,17654.0
1288,2017-09-13,17754.0
1287,2017-09-14,17708.0
1286,2017-09-15,17350.0
1285,2017-09-18,16631.0
1284,2017-09-19,17730.0
1283,2017-09-20,17648.0
1282,2017-09-21,17681.0
1281,2017-09-22,17308.0
1280,2017-09-25,16515.0
1279,2017-09-26,17804.0
1278,2017-09-27,17912.0
1277,2017-09-28,17823.0
1276,2017-09-29,18577.0
1275,2017-10-10,17208.0
1274,2017-10-11,17749.0
1273,2017-10-12,17532.0
1272,2017-10-13,17667.0
1271,2017-10-16,16213.0
1270,2017-10-17,17479.0
1269,2017-10-18,17766.0
1268,2017-10-19,17277.0
1267,2017-10-20,16888.0
1266,2017-10-23,16190.0
1265,2017-10-24,17442.0
1264,2017-10-25,17334.0
1263,2017-10-26,17110.0
1262,2017-10-27,16541.0
1261,2017-10-30,16062.0
1260,2017-10-31,17283.0
1259,2017-11-01,17330.0
1258,2017-11-02,17641.0
1257,2017-11-03,17392.0
1256,2017-11-06,17268.0
1255,2017-11-07,17756.0
1254,2017-11-08,17636.0
1253,2017-11-09,17424.0
1252,2017-11-10,17043.0
1251,2017-11-13,16923.0
1250,2017-11-14,17578.0
1249,2017-11-15,17267.0
1248,2017-11-16,16971.0
1247,2017-11-17,16744.0
1246,2017-11-20,16346.0
1245,2017-11-21,17134.0
1244,2017-11-22,17196.0
1243,2017-11-23,17249.0
1242,2017-11-24,17027.0
1241,2017-11-27,15790.0
1240,2017-11-28,17509.0
1239,2017-11-29,17727.0
1238,2017-11-30,17950.0
1237,2017-12-01,18181.0
1236,2017-12-04,17515.0
1235,2017-12-05,18047.0
1234,2017-12-06,17891.0
1233,2017-12-07,17578.0
1232,2017-12-08,17111.0
1231,2017-12-11,16696.0
1230,2017-12-12,17415.0
1229,2017-12-13,17183.0
1228,2017-12-14,16810.0
1227,2017-12-15,16260.0
1226,2017-12-18,16026.0
1225,2017-12-19,16900.0
1224,2017-12-20,16958.0
1223,2017-12-21,16702.0
1222,2017-12-22,16615.0
1221,2017-12-26,16297.0
1220,2017-12-27,17297.0
1219,2017-12-28,17260.0
1218,2017-12-29,17520.0
1217,2018-01-02,16590.0
1216,2018-01-03,17849.0
1215,2018-01-04,17978.0
1214,2018-01-05,18010.0
1213,2018-01-08,17424.0
1212,2018-01-09,18194.0
1211,2018-01-10,18052.0
1210,2018-01-11,17901.0
1209,2018-01-12,17176.0
1208,2018-01-15,16515.0
1207,2018-01-16,17498.0
1206,2018-01-17,17486.0
1205,2018-01-18,17122.0
1204,2018-01-19,16502.0
1203,2018-01-22,16280.0
1202,2018-01-23,16840.0
1201,2018-01-24,16761.0
1200,2018-01-25,16721.0
1199,2018-01-26,16338.0
1198,2018-01-29,15901.0
1197,2018-01-30,16689.0
1196,2018-01-31,16844.0
1195,2018-02-01,16930.0
1194,2018-02-02,17059.0
1193,2018-02-05,17541.0
1192,2018-02-06,17982.0
1191,2018-02-07,18303.0
1190,2018-02-08,18097.0
1189,2018-02-09,17699.0
1188,2018-02-12,17401.0
1187,2018-02-13,16988.0
1186,2018-02-19,16988.0
1185,2018-02-20,17659.0
1184,2018-02-21,18006.0
1183,2018-02-22,18531.0
1182,2018-02-23,18333.0
1181,2018-02-26,17869.0
1180,2018-02-27,18310.0
1179,2018-02-28,17730.0
1178,2018-03-02,17844.0
1177,2018-03-05,16225.0
1176,2018-03-06,17698.0
1175,2018-03-07,17682.0
1174,2018-03-08,17651.0
1173,2018-03-09,17559.0
1172,2018-03-12,16782.0
1171,2018-03-13,17777.0
1170,2018-03-14,17732.0
1169,2018-03-15,17535.0
1168,2018-03-16,17104.0
1167,2018-03-19,16148.0
1166,2018-03-20,17600.0
1165,2018-03-21,17464.0
1164,2018-03-22,17764.0
1163,2018-03-23,17108.0
1162,2018-03-26,16956.0
1161,2018-03-27,17687.0
1160,2018-03-28,18054.0
1159,2018-03-29,18494.0
1158,2018-03-30,18393.0
1157,2018-04-02,17887.0
1156,2018-04-03,18017.0
1155,2018-04-04,17936.0
1154,2018-04-05,18182.0
1153,2018-04-06,17396.0
1152,2018-04-09,17471.0
1151,2018-04-10,18216.0
1150,2018-04-11,18134.0
1149,2018-04-12,18324.0
1148,2018-04-13,17778.0
1147,2018-04-16,16262.0
1146,2018-04-17,18015.0
1145,2018-04-18,18150.0
1144,2018-04-19,17882.0
1143,2018-04-20,17163.0
1142,2018-04-23,16193.0
1141,2018-04-24,17808.0
1140,2018-04-25,17999.0
1139,2018-04-26,17732.0
1138,2018-04-27,17313.0
1137,2018-04-30,16251.0
1136,2018-05-01,17742.0
1135,2018-05-02,17712.0
1134,2018-05-03,17481.0
1133,2018-05-04,16986.0
1132,2018-05-08,13782.0
1131,2018-05-09,17542.0
1130,2018-05-10,17631.0
1129,2018-05-11,17507.0
1128,2018-05-14,15628.0
1127,2018-05-15,18137.0
1126,2018-05-16,18032.0
1125,2018-05-17,18465.0
1124,2018-05-18,18403.0
1123,2018-05-21,17035.0
1122,2018-05-22,18067.0
1121,2018-05-23,18349.0
1120,2018-05-24,18293.0
1119,2018-05-25,17897.0
1118,2018-05-28,17058.0
1117,2018-05-29,18417.0
1116,2018-05-30,18176.0
1115,2018-05-31,18462.0
1114,2018-06-01,18367.0
